C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=102084, episodic_return=0.0
global_step=102120, episodic_return=0.0
global_step=102212, episodic_return=0.0
SPS:  321
global_step=102740, episodic_return=0.0
SPS:  321
global_step=103108, episodic_return=0.0
global_step=103144, episodic_return=0.0
global_step=103236, episodic_return=0.0
SPS:  321
global_step=103764, episodic_return=0.0
SPS:  321
global_step=104132, episodic_return=0.0
global_step=104168, episodic_return=0.0
global_step=104260, episodic_return=0.0
SPS:  321
global_step=104788, episodic_return=0.0
SPS:  321
global_step=105156, episodic_return=0.0
global_step=105192, episodic_return=0.0
global_step=105284, episodic_return=0.0
SPS:  321
global_step=105812, episodic_return=0.0
SPS:  321
global_step=106180, episodic_return=0.0
global_step=106216, episodic_return=0.0
global_step=106308, episodic_return=0.0
SPS:  321
global_step=106836, episodic_return=0.0
SPS:  321
global_step=107204, episodic_return=0.0
global_step=107240, episodic_return=0.0
global_step=107332, episodic_return=0.0
SPS:  322
global_step=107860, episodic_return=0.0
SPS:  322
global_step=108228, episodic_return=0.0
global_step=108264, episodic_return=0.0
global_step=108356, episodic_return=0.0
SPS:  322
global_step=108884, episodic_return=0.0
SPS:  321
global_step=109252, episodic_return=0.0
global_step=109288, episodic_return=0.0
global_step=109380, episodic_return=0.0
SPS:  321
global_step=109908, episodic_return=0.0
SPS:  322
global_step=110276, episodic_return=0.0
global_step=110312, episodic_return=0.0
global_step=110404, episodic_return=0.0
SPS:  322
global_step=110932, episodic_return=0.0
SPS:  322
global_step=111300, episodic_return=0.0
global_step=111336, episodic_return=0.0
global_step=111428, episodic_return=0.0
SPS:  322
global_step=111956, episodic_return=0.0
SPS:  322
global_step=112324, episodic_return=0.0
global_step=112360, episodic_return=0.0
global_step=112452, episodic_return=0.0
SPS:  322
global_step=112980, episodic_return=0.0
SPS:  322
global_step=113348, episodic_return=0.0
global_step=113384, episodic_return=0.0
global_step=113476, episodic_return=0.0
SPS:  322
global_step=114004, episodic_return=0.0
SPS:  322
global_step=114372, episodic_return=0.0
global_step=114408, episodic_return=0.0
global_step=114500, episodic_return=0.0
SPS:  322
global_step=115028, episodic_return=0.0
SPS:  322
global_step=115396, episodic_return=0.0
global_step=115432, episodic_return=0.0
global_step=115524, episodic_return=0.0
SPS:  322
global_step=116052, episodic_return=0.0
SPS:  322
global_step=116420, episodic_return=0.0
